SMILES,site1,site2,BDE_DFT,Exptl.BDE,type
ClC(Br)Br,1,1,90.82,88.7,C-H
BrC(Br)Br,1,1,90.94,95.4,C-H
ICI,1,1,95,103,C-H
IC(I)I,1,1,89.79,101.1,C-H
CCCCC,2,2,95.17,99.1,C-H
CCCC(C)C,3,3,92.08,95.4,C-H
C=CC=C,0,0,108.7,114.4,C-H
C/C=C\CC,3,3,79.96,82.7,C-H
C#CC(=O)N(C)C,0,0,130.07,132,C-H
C=C/C=C/CCCC,4,4,76.86,79.3,C-H
C1=CC=CCC=C1,4,4,71.88,76.6,C-H
C1=CCCCCC1,2,2,79.17,82.8,C-H
CC1=CCC=C(C)C1,3,3,72.78,80.4,C-H
C2=CC(c1ccccc1)C=C2c3ccccc3,2,2,67.33,75,C-H
c1cc2cccc3ccc(c1)c23,7,7,113.62,117,C-H
Oc2ccc(Cc1ccccc1)cc2,5,5,81.19,89.3,C-H
C1=Cc2ccc3CCCc4ccc(C1)c2c34,13,13,60.51,81.6,C-H
CC(C)(C)OC3c1ccccc1c2ccccc23,5,5,68.14,74,C-H
CCc1c(CC)c(CC)c(CC)c(CC)c1CC,1,1,98.19,90.8,C-H
Cc3c1ccccc1c(c2ccccc2)c4ccccc34,0,0,69.96,81.8,C-H
