SMILES,site1,site2,BDE_DFT,Exptl.BDE,type
NC(=O)C1=CCc2ccccc12,5,5,77.15,77.7,C-H
Cc1ccc(Cl)cc1Cl,0,0,89.22,88.6,C-H
Cc1ccc(Cl)c(Cl)c1,0,0,88.77,88.3,C-H
CC2CCc1ccccc1C2C,10,10,79.79,80.5,C-H
c2ccc(C1CCCCC1)cc2,4,4,86.84,85.2,C-H
CSC1=CCc2ccccc12,4,4,74.36,74.1,C-H
Cc1c(C)c(C)c(C)c(C)c1C,0,0,87.97,88.6,C-H
CCc1ccc(C(C)(C)C)cc1,1,1,85.11,86.5,C-H
CCOC(=O)c1ccc(C)cc1,9,9,88,89.4,C-H
CCOC(=O)c1cccc(C)c1,10,10,88.74,89.1,C-H
CCc1ccc(C(=O)OC)cc1,1,1,85.21,87,C-H
N#CCc1cccc2ccccc12,2,2,80.57,81.3,C-H
C1=Cc2cccc3cccc(C1)c23,11,11,61.22,74,C-H
c1ccc3c(c1)Cc2ccccc23,6,6,80.5,82,C-H
COC(OC)c1ccc(C)cc1,9,9,88.62,84.2,C-H
N#CCc2ccc1ccccc1c2,2,2,79.9,81.4,C-H
Cc1cc3CCc2cccc(c1)c23,0,0,87.78,84.3,C-H
CC1Cc2cccc3cccc1c23,0,0,98.98,84.3,C-H
c2ccc(Cc1ccccc1)cc2,4,4,81.64,84.5,C-H
Cc1cccc(Br)c1,0,0,89.21,89.7,C-H
Cc1ccccc1Br,0,0,89.72,90.2,C-H
Cc1ccc(Br)cc1,0,0,88.5,90.8,C-H
CC(C)(C)C1=CCc2ccccc12,6,6,77.39,78.5,C-H
c1ccc2c(c1)CC3CCCCC23,6,6,88.77,79.3,C-H
COC(=O)C2=Cc1ccccc1C2,12,12,78.79,79.2,C-H
COC(=O)C1=CCc2ccccc12,6,6,77.01,77.6,C-H
Cc2cc(C)c1CCCC(C)c1c2,9,9,81.98,80.9,C-H
CC(C)c1ccc(C(C)(C)C)cc1,1,1,83.63,83.5,C-H
c3ccc2Cc1ccccc1Cc2c3,4,4,75.55,76.3,C-H
CC3c1ccccc1c2ccccc23,1,1,76.53,75.4,C-H
c1ccc3c(c1)CCc2ccccc23,6,6,79.06,82.1,C-H
CC(c1ccccc1)c2ccccc2,1,1,81.1,82.8,C-H
c2ccc(CCc1ccccc1)cc2,4,4,85.2,87,C-H
CCc1ccc(Br)cc1,1,1,84.12,87.1,C-H
Cc2ccc(Oc1ccccc1)cc2,0,0,88.26,90.2,C-H
C3=C(N1CCCC1)c2ccccc2C3,13,13,69.58,70.3,C-H
C2=C(N1CCCC1)Cc3ccccc23,7,7,83.07,83.5,C-H
c1cc2Cc3cccc4ccc(c1)c2c34,3,3,81.94,81,C-H
Cc1cc(C(C)C)cc(C)c1C(C)C,11,11,86.27,87.9,C-H
N#CC3c1ccccc1c2ccccc23,2,2,72.89,74.8,C-H
N#Cc1ccc3c(c1)Cc2ccccc23,8,8,80.85,80,C-H
Cc2c1ccccc1cc3ccccc23,0,0,82.32,84.1,C-H
Cc2cc1ccccc1c3ccccc23,0,0,88.04,85.1,C-H
C3=C(c1ccccc1)c2ccccc2C3,14,14,75.55,75.3,C-H
CCC3c1ccccc1c2ccccc23,2,2,76.15,76.2,C-H
COc1ccc3c(c1)Cc2ccccc23,8,8,80.84,80,C-H
COC3c1ccccc1c2ccccc23,2,2,71.2,73,C-H
C2=C(N1CCCCC1)Cc3ccccc23,8,8,73.39,82.5,C-H
C3=C(N1CCCCC1)c2ccccc2C3,14,14,82.84,72.3,C-H
Oc2ccc(Cc1ccc(O)cc1)cc2,5,5,80.37,89.8,C-H
C2=C(N1CCOCC1)Cc3ccccc23,8,8,82.73,82.8,C-H
C3=C(N1CCOCC1)c2ccccc2C3,14,14,69.68,73.4,C-H
C1=c2ccc4cccc3ccc(CC1)c2c34,13,13,63.08,81.6,C-H
Cc3ccc(C2=Cc1ccccc1C2)cc3,13,13,79.96,79.1,C-H
Cc2c1ccccc1c(C)c3ccccc23,0,0,80.61,81.8,C-H
CC3c1ccccc1C(C)c2ccccc23,1,1,77.6,78.1,C-H
